@A Juíza do Inferno	2024	235577
1	5	dub	https://embedplayer2.xyz/cdn/hls/d98cea95c696106a98a3a947ee706b35/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/ab3a0d9e76aea8c092b901bd71bece3a/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/28341ab514f8fdf96693c438c63b26f2/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/15b434f803b2091a9369ac5565ed7a2d/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/64820f76f675d8adcfbce1d91c5197f2/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/9304df4bfa74e21d752689761b1ac48f/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/fe2950c1e4da6b8f65a44f2b46605989/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/4e2ce7ae6e93c1f7b69e194f49b771c6/master.txt
@Uma Família Inusitada	2024	232616
1	1	dub	https://embedplayer2.xyz/cdn/hls/9288a0b2e3582dffd6cf3dab03fa22ce/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/cff595e5a346af25007980509bcbca1c/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/83299055eec62c572067996e88af0b2b/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/509d26cff5f9cf062b71433e8b8fa9e6/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/a238e610fac22388439a3ab8431ac4a5/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/a107baca181d90c8d08f428c7d507fe6/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/f77503486295609e686bb541bd0d462f/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/8b1082d4bbba641dcf37c191f216bba3/master.txt
@O Amor Mora ao Lado	2024	241454
1	9	dub	https://embedplayer2.xyz/cdn/hls/4ec31e273cd94b5fad7475693d55f998/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/aa9ab1f0af90aa268877c679261c83bc/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/7d9c37f144d53e626378591e7fbec5af/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/947a52b6ddb4fdf57a1f7f7eb3b64369/master.txt
1	14	dub	https://embedplayer2.xyz/cdn/hls/7faead493512c62deba1552ceb4cc5a6/master.txt
1	16	dub	https://embedplayer2.xyz/cdn/hls/8a7accecb96de27d611362ee3deb3ae6/master.txt
@Um Amor de Cinema	2025	243964
1	1	dub	https://embedplayer2.xyz/cdn/hls/e983e970d39c2ce6ef7bc01ea24a2ec2/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/104c27bc06b4638650919c462a48525b/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/bf2d88b6215ba6c5dcc51dbbcc582128/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/f273c0b0609c6b9b56262d989594b755/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/fca84c816aeb4ee3a99bde45123a2212/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/269216195623365aa2fde2e23acdad89/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/38a84ee92f4b2d491d96d91dc817ed7f/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/67e686f63aeb2c28e030d39fe83e409b/master.txt
@Escola dos Romances Proibidos	2024	257221
1	1	dub	https://embedplayer2.xyz/cdn/hls/b3d8cea494960ef861fb134a539bd2c6/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/39e6d5d3ff5a0802dc2d7c239396fa82/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/f1381231460533a0eac5e0c334bcad71/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/bd6fbadae5c5b2db6d04e455e3120a3b/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/bb671182cd1fce95cdee0dd41953af5d/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/c9a0f71a7baecd3f208976585b2d122f/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/66f306ef2318bd3f250e6b2e0cba91f6/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/c9a6c8164fcf0ce132f513a0353588ea/master.txt
@O Amor Volta para Casa	2024	258707
1	1	dub	https://embedplayer2.xyz/cdn/hls/1b58894db3a54b47b91bf7b387fc5880/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/0f8c222d22fac2288ad73323a9bc2582/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/0269a4a2c85ec7013e636f8b0dd47611/master.txt
